,0
0,용호동 176-30
1,용호동 944
2,신천동 17
3,가락동 479
4,다대동 1550
5,화명동 1170-1
6,미아동 1353
7,다대동 1624
8,사당동 105
9,개포동 141
10,돈암동 609-1
11,남천동 148-4
12,사직동 1017
13,개금동 53
14,잠실동 19
15,방이동 89
16,잠실동 22
17,장림동 875
18,중계동 502-1
19,봉천동 1712
20,하단동 1175
21,암사동 509
22,재송동 1200
23,신당동 844
24,방학동 271-1
25,대치동 316
26,월계동 13
27,둔촌동 170-1
28,연산동 243-18
29,암사동 414-2
30,문정동 150
31,당감동 516
32,반포동 20-43
33,화명동 2322
34,월계동 18
35,시흥동 1013
36,동삼동 1123
37,상계동 639
38,도곡동 527
39,반여동 1638
40,명일동 15
41,다대동 120-1
42,잠실동 35
43,화명동 2306
44,화명동 2264
45,개포동 12
46,성산동 446
47,영등포동 647
48,창동 38
49,명지동 3243
50,상계동 670
51,잠실동 27
52,중계동 512
53,좌동 1450
54,하단동 1217-1
55,가락동 140
56,화명동 2324
57,금곡동 810
58,금곡동 57-1
59,연산동 2220
60,정릉동 239
61,창동 347
62,신정동 329
63,화명동 1150
64,중계동 359-1
65,연산동 2262
66,행당동 347
67,행당동 346
68,하월곡동 222
69,다대동 120-10
70,상계동 624
71,봉천동 1717
72,좌동 1398
73,상계동 691
74,봉천동 1718
75,도봉동 30-1
76,신월동 987-1
77,상계동 626
78,덕천동 802
79,개포동 189
80,화곡동 1159
81,상계동 720
82,신도림동 642
83,공릉동 81
84,우동 1407
85,반여동 1662
86,명지동 3233
87,잠실동 44
88,재송동 1048-3
89,정관읍 용수리 1403
90,부암동 500
91,월계동 556
92,신림동 1735
93,상계동 666
94,하계동 271-3
95,개금동 455
96,신내동 650
97,안락동 472-57
98,개봉동 481
99,가양동 1461
100,길음동 1281
101,중계동 369
102,양정동 458-5
103,봉천동 1708
104,둔촌동 174-1
105,장안동 329-3
106,구서동 1049
107,상일동 121
108,쌍문동 59
109,구서동 1051
110,내발산동 657
111,반여동 1199-11
112,모라동 1362
113,양정동 458-20
114,신내동 657
115,중동 1818
116,장안동 336
117,휘경동 57
118,구포동 1103-2
119,창동 373
120,온천동 178-7
121,하계동 273
122,가양동 1485
123,하단동 1161-2
124,재송동 939-2
125,창동 808
126,반여동 1174-1
127,암사동 413
128,하계동 284
129,도봉동 641
130,정관읍 모전리 755
131,구로동 1265
132,화명동 2288
133,상계동 749-5
134,화명동 2290
135,가양동 1475
136,반포동 18-1
137,목동 925
138,재송동 1023
139,문정동 145
140,중계동 505
141,상계동 740
142,만덕동 216-7
143,좌동 1396
144,개봉동 476
145,전농동 10
146,석관동 10
147,금호동1가 633
148,전포동 587
149,좌동 1394
150,정관읍 용수리 1364
151,기장읍 동부리 151-5
152,화곡동 1091
153,고덕동 212
154,구포동 1293
155,상계동 765
156,안락동 1242
157,명일동 294
158,명지동 3232
159,반여동 1660
160,다대동 94-2
161,노량진동 325
162,상계동 652
163,부곡동 225-6
164,개금동 618-2
165,반여동 1619
166,종암동 80
167,상계동 173-1
168,당감동 794
169,좌동 1448
170,길음동 1280
171,주례동 10-21
172,이촌동 404
173,방화동 814
174,봉천동 1000
175,우동 1008-5
176,봉천동 1706
177,중화동 450
178,신당동 842
179,만덕동 774-7
180,창동 27
181,상도동 431
182,상계동 730-2
183,길음동 1278
184,신정동 327
185,민락동 108-1
186,쌍문동 56
187,시흥동 1010
188,좌동 1288
189,상계동 647
190,구의동 631-1
191,수서동 746
192,학장동 168-8
193,신호동 205-1
194,부곡동 244-7
195,엄궁동 680-1
196,미아동 1354
197,북가좌동 481
198,개포동 656
199,거제동 1481
200,창동 825
201,묵동 13
202,면목동 193-1
203,금곡동 1895
204,모라동 552
205,주례동 239
206,온천동 1412-1
207,신천동 7
208,동삼동 1124
209,장림동 585-1
210,신림동 1694
211,화명동 2262
212,용호동 179-9
213,구서동 1027-1
214,신정동 311
215,상도동 531
216,반여동 1190-1
